Date,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend
2021-11-23,398.11,400.23,392.92,397.48,70098740.0,27771146000.0,397.48,0.0
2021-11-24,394.93,399.05,392.54,398.76,46954384.0,18619628000.0,398.76,0.0
2021-11-26,396.11,397.54,389.77,391.2,51533310.0,20291273000.0,391.2,0.0
2021-11-29,395.89,400.73,395.14,399.69,54447104.0,21666753000.0,399.69,0.0
2021-11-30,398.78,401.19,391.75,393.82,81332696.0,32152934000.0,393.82,0.0
2021-12-01,398.28,400.48,386.64,387.12,78379250.0,30912713000.0,387.12,0.0
2021-12-02,385.8,391.74,384.34,389.91,84416620.0,32812208000.0,389.91,0.0
2021-12-03,391.31,392.34,378.9,383.13,105349100.0,40341717000.0,383.13,0.0
2021-12-06,383.63,387.6,379.3,386.2,67588800.0,25949983000.0,386.2,0.0
2021-12-07,393.03,398.46,392.99,397.83,56005264.0,22167058000.0,397.83,0.0
2021-12-08,398.17,399.82,396.22,399.61,39204040.0,15604980000.0,399.61,0.0
2021-12-09,398.35,400.2,393.5299,393.73,49973710.0,19829211000.0,393.73,0.0
2021-12-10,396.62,398.28,393.36,398.01,52545770.0,20815165000.0,398.01,0.0
2021-12-13,398.0,398.325,391.88,392.26,50166410.0,19827950000.0,392.26,0.0
2021-12-14,387.3,390.09,383.63,388.2,75199180.0,29127830000.0,388.2,0.0
2021-12-15,387.94,397.4198,383.88,397.05,73858030.0,28781212000.0,397.05,0.0
2021-12-16,398.04,398.475,385.21,386.84,82591370.0,32241082000.0,386.84,0.0
2021-12-17,383.33,389.19,381.77,384.91,81642850.0,31460504000.0,384.91,0.49141
2021-12-20,379.565,381.5,377.47,380.69,65336828.0,24827767000.0,380.69,0.0
2021-12-21,384.05,389.53,380.201,389.21,48899476.0,18852252000.0,389.21,0.0
2021-12-22,388.91,394.16,388.23,393.95,37042200.0,14505095000.0,393.95,0.0
2021-12-23,394.31,398.425,394.14,396.92,29595536.0,11703361000.0,396.92,0.0
2021-12-27,398.25,403.48,398.2194,403.48,32820704.0,13183017000.0,403.48,0.0
